,song,analysis_url,track_href,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,global,global_100,global_top,popularity
37,Unforgettable,https://api.spotify.com/v1/audio-analysis/1F2HXIJrE2Xn81OzT2zZvW,https://api.spotify.com/v1/tracks/1F2HXIJrE2Xn81OzT2zZvW,spotify:track:1F2HXIJrE2Xn81OzT2zZvW,French Montana,0.0293,0.726,233833,0.769,0.0101,6,0.10400000000000001,-5.043,1,0.12300000000000001,97.985,0.733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,32
38,Light It Up (feat. Nyla & Fuse ODG) [Remix],https://api.spotify.com/v1/audio-analysis/40MkEbKzuSW9ET6HBngqnK,https://api.spotify.com/v1/tracks/40MkEbKzuSW9ET6HBngqnK,spotify:track:40MkEbKzuSW9ET6HBngqnK,Major Lazer,0.0375,0.747,166138,0.877,0.000833,9,0.233,-3.782,0,0.0664,107.991,0.752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,21
39,Havana,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,0.18600000000000005,0.768,216897,0.517,3.8e-05,7,0.10400000000000001,-4.323,0,0.0312,104.992,0.418,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,84
40,Heathens,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,0.0841,0.732,195920,0.396,3.5799999999999996e-05,4,0.105,-9.347999999999999,0,0.0286,90.024,0.5479999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,83
41,Let Her Go,https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I,https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I,spotify:track:6GmUVqe73u5YRfUUynZK6I,Passenger,0.365,0.479,252733,0.545,0.0,7,0.0963,-7.346,1,0.0688,74.89699999999998,0.244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,False,False,75
42,Hotline Bling,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,Drake,0.00302,0.903,267067,0.621,0.00018600000000000002,2,0.0504,-8.132,1,0.0578,134.969,0.5529999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False,False,74
43,All of Me,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend,0.922,0.42200000000000004,269560,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,0.331,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,86
44,Where Are Ü Now (with Justin Bieber),https://api.spotify.com/v1/audio-analysis/66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f,spotify:track:66hayvUbTotekKU3H4ta1f,Jack Ü,0.040999999999999995,0.4320000000000001,250286,0.7809999999999999,4.21e-06,4,0.0789,-4.038,0,0.0567,139.43200000000002,0.19699999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,79
45,Rockabye (feat. Sean Paul & Anne-Marie),https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,Clean Bandit,0.406,0.72,251088,0.763,0.0,9,0.18,-4.0680000000000005,0,0.0523,101.965,0.742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,True,False,86
46,Panda,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,Desiigner,0.0231,0.5760000000000001,246761,0.777,0.0,10,0.366,-5.035,0,0.45799999999999996,145.2,0.259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,69
47,New Rules,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,0.00256,0.7709999999999999,208827,0.696,9.71e-06,9,0.179,-6.257999999999999,0,0.0755,116.054,0.6559999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,94
48,I'm the One,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,spotify:track:72Q0FQQo32KJloivv5xge2,DJ Khaled,0.0533,0.599,288877,0.667,0.0,7,0.134,-4.2669999999999995,1,0.0367,80.984,0.8170000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,34
49,XO TOUR Llif3,https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,spotify:track:2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.3660000000000005,0,0.231,155.096,0.401,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,True,False,57
50,Radioactive,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,spotify:track:4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,0.126,0.478,186813,0.799,0.000106,9,0.76,-3.614,1,0.0638,136.268,0.17600000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,76
51,"Me, Myself & I",https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,G-Eazy,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.99600000000001,0.382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,80
52,Chandelier,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/tracks/2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,Sia,0.0197,0.39899999999999997,216120,0.787,6.07e-05,1,0.0685,-2.88,1,0.0499,117.089,0.5720000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,72
53,The Hills,https://api.spotify.com/v1/audio-analysis/25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l,spotify:track:25khomWgBVamSdKw7hzm3l,The Weeknd,0.0861,0.35600000000000004,242253,0.5670000000000001,0.0,0,0.13699999999999998,-7.011,0,0.0798,135.553,0.109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,77
54,Sugar,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,spotify:track:2iuZJX9X9P0GKaE93xcPjk,Maroon 5,0.052000000000000005,0.7509999999999999,235493,0.768,0.0,1,0.0848,-7.0889999999999995,1,0.0346,120.084,0.8809999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,False,False,74
55,It Ain?t Me (with Selena Gomez),https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,spotify:track:12GEpg2XOPyqk03JZEZnJs,Kygo,0.0905,0.648,220781,0.532,0.0,0,0.0831,-6.597,1,0.0746,99.98299999999999,0.48700000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,76
56,We Don't Talk Anymore (feat. Selena Gomez),https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,spotify:track:37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,0.621,0.728,217707,0.563,0.0,1,0.179,-8.052999999999999,0,0.134,100.01700000000001,0.35200000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,75
