,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.33,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,0.736,219080,0.449,152lZdxL1OR0ZMW6KquMif,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,audio_features,spotify:track:152lZdxL1OR0ZMW6KquMif,0.326
1,0.152,https://api.spotify.com/v1/audio-analysis/0Zbbxnx4SGGHoIow4PpISP,0.677,236853,0.497,0Zbbxnx4SGGHoIow4PpISP,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,https://api.spotify.com/v1/tracks/0Zbbxnx4SGGHoIow4PpISP,audio_features,spotify:track:0Zbbxnx4SGGHoIow4PpISP,0.419
2,0.0672,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,0.929,223962,0.723,2771LMNxwf62FTAdpJMQfM,0.0,11,0.346,-5.792,0,0.109,125.022,4,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM,0.458
3,0.0262,https://api.spotify.com/v1/audio-analysis/6h5PAsRni4IRlxWr6uDPTP,0.642,203000,0.728,6h5PAsRni4IRlxWr6uDPTP,0.0,5,0.295,-4.971,0,0.0349,123.068,4,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,audio_features,spotify:track:6h5PAsRni4IRlxWr6uDPTP,0.493
4,0.0739,https://api.spotify.com/v1/audio-analysis/6n4U3TlzUGhdSFbUUhTvLP,0.909,276147,0.628,6n4U3TlzUGhdSFbUUhTvLP,0.0,2,0.108,-5.456,1,0.201,145.905,4,https://api.spotify.com/v1/tracks/6n4U3TlzUGhdSFbUUhTvLP,audio_features,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,0.406
5,0.176,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,0.65,181812,0.683,75NhhYjHO43mvZgYtnXgti,2.82e-05,5,0.0832,-5.284,1,0.0704,102.968,4,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,0.228
6,0.425,https://api.spotify.com/v1/audio-analysis/1nfyE13arjOuO54HH0zmqj,0.697,199813,0.648,1nfyE13arjOuO54HH0zmqj,0.0,7,0.191,-7.123,1,0.128,186.125,4,https://api.spotify.com/v1/tracks/1nfyE13arjOuO54HH0zmqj,audio_features,spotify:track:1nfyE13arjOuO54HH0zmqj,0.313
7,0.0212,https://api.spotify.com/v1/audio-analysis/4hXAdUl4nAnSPc9thzP2E2,0.687,233072,0.718,4hXAdUl4nAnSPc9thzP2E2,0.0,7,0.685,-5.583,1,0.0721,92.059,4,https://api.spotify.com/v1/tracks/4hXAdUl4nAnSPc9thzP2E2,audio_features,spotify:track:4hXAdUl4nAnSPc9thzP2E2,0.533
8,0.0259,https://api.spotify.com/v1/audio-analysis/0KsB4TwgATg88aXCMBoO3Y,0.741,207630,0.728,0KsB4TwgATg88aXCMBoO3Y,0.00025,11,0.14,-5.559,0,0.0408,125.984,4,https://api.spotify.com/v1/tracks/0KsB4TwgATg88aXCMBoO3Y,audio_features,spotify:track:0KsB4TwgATg88aXCMBoO3Y,0.703
9,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
10,0.62,https://api.spotify.com/v1/audio-analysis/5qN4HFkapdAOV94XPryVof,0.459,130613,0.587,5qN4HFkapdAOV94XPryVof,2.23e-06,1,0.268,-9.391,1,0.432,90.796,4,https://api.spotify.com/v1/tracks/5qN4HFkapdAOV94XPryVof,audio_features,spotify:track:5qN4HFkapdAOV94XPryVof,0.441
11,0.0424,https://api.spotify.com/v1/audio-analysis/4pYZLpX23Vx8rwDpJCpPTA,0.888,193173,0.664,4pYZLpX23Vx8rwDpJCpPTA,0.0,0,0.0734,-10.13,1,0.341,140.012,4,https://api.spotify.com/v1/tracks/4pYZLpX23Vx8rwDpJCpPTA,audio_features,spotify:track:4pYZLpX23Vx8rwDpJCpPTA,0.53
12,0.238,https://api.spotify.com/v1/audio-analysis/4ocmZDCb43B5WRYMKZSxhM,0.652,217080,0.862,4ocmZDCb43B5WRYMKZSxhM,2.93e-06,6,0.0718,-4.234,1,0.102,191.885,4,https://api.spotify.com/v1/tracks/4ocmZDCb43B5WRYMKZSxhM,audio_features,spotify:track:4ocmZDCb43B5WRYMKZSxhM,0.715
13,0.0507,https://api.spotify.com/v1/audio-analysis/6ELe1Do1bYtaCtLqjYTglW,0.747,203853,0.745,6ELe1Do1bYtaCtLqjYTglW,1.9e-06,9,0.151,-3.335,1,0.146,180.123,4,https://api.spotify.com/v1/tracks/6ELe1Do1bYtaCtLqjYTglW,audio_features,spotify:track:6ELe1Do1bYtaCtLqjYTglW,0.805
14,0.229,https://api.spotify.com/v1/audio-analysis/7HdZY9UJTylIiNcSDFyUDc,0.751,186231,0.658,7HdZY9UJTylIiNcSDFyUDc,0.00222,1,0.0958,-4.578,1,0.0956,100.005,4,https://api.spotify.com/v1/tracks/7HdZY9UJTylIiNcSDFyUDc,audio_features,spotify:track:7HdZY9UJTylIiNcSDFyUDc,0.496
