,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
50,53.775999999999996,15.368500000000001,25.2625,-11.27,14.155999999999999,-23.255499999999998,2.393,1.345,1.6475,0.28600000000000003,-9.564,-4.5169999999999995
51,50.588,36.019999999999996,-3.557,-3.8280000000000003,14.5875,-21.483,4.8735,3.1615,-4.2645,1.7125,-18.4815,-6.101
52,55.669,72.435,15.505,-13.318,19.996,-27.981,-0.464,0.678,1.049,4.242,-9.986,4.634
53,48.3725,26.1075,20.0995,-11.892,27.4295,-23.828000000000003,3.2115,-0.35750000000000004,-2.2264999999999997,0.8029999999999999,-9.5595,-0.9990000000000001
54,49.575,42.227000000000004,-9.191500000000001,-11.4235,22.406,-23.4205,-9.767,0.42400000000000004,-0.7404999999999999,-4.8195,-9.5015,-4.1899999999999995
55,49.8445,47.2115,9.388,-12.0775,28.131999999999998,-20.844,-0.7004999999999999,-1.133,-0.552,2.4215,-10.058,-1.2999999999999998
56,47.188,-11.033,-27.036,-16.526,37.025,-26.429,-6.382,-4.647,-7.074,2.908,-10.293,0.518
57,47.0385,14.628499999999999,-2.148,-6.0725,-0.09949999999999999,-19.4445,21.752499999999998,7.6225000000000005,-0.6725,3.6115000000000004,-17.017,0.1655
58,49.567,67.356,-3.223,5.923,25.277,-17.367,1.823,0.266,-15.274,2.928,-14.782,-4.337
59,53.804,31.884500000000003,8.8485,5.473000000000001,20.0175,-28.493499999999997,-11.615,-1.482,-16.762999999999998,1.4340000000000002,-10.434000000000001,-6.0169999999999995
60,52.969,78.847,14.924,-0.225,32.717,-22.088,-9.153,-0.006,-12.482,2.603,-6.62,-5.879
61,51.823499999999996,22.695500000000003,21.337,-14.053,28.35,-29.927,0.198,-0.7875000000000001,-2.444,-1.431,-7.257,1.3370000000000002
62,51.511,40.647,12.177,4.105,25.787,-29.274,13.273,1.58,-6.077,1.914,-13.775,-6.193
63,51.044,43.227,38.575,0.303,29.406,-27.176,20.39,11.162,-10.99,-1.525,-8.065,5.484
64,47.441,9.112,-55.751,-3.316,-7.052,-26.772,-19.041,1.81,-6.711,6.294,-13.894,-3.99
65,52.037,40.7325,-9.5775,-15.07,19.227,-26.724,-2.816,-1.9415,-2.605,0.9395,-8.754000000000001,3.4115
66,41.119,-17.037,-21.463,-18.96,33.59,-12.794,-7.34,-1.262,4.357,-3.43,-16.715,-0.458
67,53.235,46.064,22.996,1.896,26.319,-29.277,-1.78,3.262,-5.056,4.601,-10.523,-8.822
68,50.673500000000004,58.085,5.6065000000000005,-4.2204999999999995,24.802500000000002,-20.555,7.429,2.8025,0.34299999999999997,1.8980000000000001,-11.0295,-1.528
69,49.933499999999995,7.3795,2.878,-9.997,29.805999999999997,-27.907,-4.5809999999999995,1.2919999999999998,-0.7775000000000001,2.639,-11.325500000000002,-1.891
70,53.085,37.199,43.343500000000006,2.2245,29.240000000000002,-25.735,8.526,-0.211,-15.401,-1.046,-7.3565000000000005,0.432
71,48.049,27.199,17.043,6.833,29.097,-23.649,-4.38,3.188,-2.109,5.103,-9.237,-8.162
72,50.71,56.345,30.236,3.734,16.677,-31.338,7.693,6.273,-1.694,0.105,-9.293,7.775
73,53.199,39.042,1.932,-16.168,17.996,-24.623,5.239,1.007,-3.557,0.717,-10.802,-1.701
74,54.146,13.625,42.436,-9.19,18.945,-23.3345,6.2315000000000005,-1.745,-2.3845,-1.6475,-11.009,-0.7055
75,52.291,22.905,4.426,-9.967,28.786,-29.19,9.536,-8.244,1.725,-0.083,-13.078,-5.259
76,50.238,3.768,-17.693,-11.285,28.436,-28.54,-4.031,3.943,-8.705,0.689,-7.66,-0.008
