,uri,popularity
100,spotify:track:5KX51uLJYo1S1MmITG7lHD,65
101,spotify:track:3PEgB3fkiojxms35ntsTgs,43
102,spotify:track:3WHqVVRvPDWz033iPs04md,28
103,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,69
104,spotify:track:3BbnFRvRRlw3JN56J5ZpUj,18
105,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,91
106,spotify:track:4nYKcVxSChmk3RvFbZjYob,57
107,spotify:track:07dYGGSrzPeg6a3KZjWX65,68
108,spotify:track:27GmP9AWRs744SzKcpJsTZ,76
109,spotify:track:1x5sYLZiu9r5E43kMlt9f8,87
110,spotify:track:0Wv5wuenRLI3BcwgT3HPIP,79
111,spotify:track:7LDUiraavMZ6mb8hK3mXkj,62
112,spotify:track:5lyikKk6KFWfWCuDDir9Fx,46
113,spotify:track:6mrKP2jyIQmM0rw6fQryjr,88
114,spotify:track:1ADjWm8QNhgNV8yCNNgQ1T,60
115,spotify:track:5osZJojRNuUPvAeP2ouA5t,21
116,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,82
117,spotify:track:4yzoIumMyoNl7c0f1XKP3Q,21
118,spotify:track:6NMhHiixIYW0WLLcMZQvtJ,45
119,spotify:track:0Qld0SMt9XPAktXDrhDcih,40
120,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,53
121,spotify:track:62LJFaYihsdVrrkgUOJC05,77
122,spotify:track:2xmrfQpmS2iJExTlklLoAL,91
123,spotify:track:12OcamjCI9eId8bChre1b3,58
124,spotify:track:4lESS6vuruP6a79KWRaQou,92
125,spotify:track:79NlESqzFSW0hdBWgls4FX,78
126,spotify:track:4y1LsJpmMti1PfRQV9AWWe,73
127,spotify:track:1KvyBpAxgllKW7bQb0GYCR,65
128,spotify:track:015RPkpVsPizETsTU4csTG,17
129,spotify:track:0hURJYjOhE6NL72qaeQ9PK,54
130,spotify:track:5gcA28rUaSsEOM5g7Q5wF5,50
131,spotify:track:7unu7FYO8i3CVj5gXA36zr,38
132,spotify:track:75FDPwaULRdYDn4StFN2rT,86
133,spotify:track:3fJaqjV813edLN5wrxUPkc,80
134,spotify:track:42NpUvd0I2kdIuMXX4nobE,67
135,spotify:track:39IsH7B5byx8NRlEKlZVg9,81
136,spotify:track:1cImYkHOQMFE7AZC9aOk4y,42
137,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,92
138,spotify:track:3m660poUr1chesgkkjQM7P,83
139,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,76
140,spotify:track:0a7BloCiNzLDD9qSQHh5m7,71
141,spotify:track:2pYvd6cHcAIMAM6xMD6nok,63
142,spotify:track:6B7op3kK1kFQp4Ck1UZtK5,42
143,spotify:track:5PU33Ua2bB2B713yGojGjr,53
144,spotify:track:3V9DfRoS7JfSkuTyNEsCxQ,74
145,spotify:track:3iwZ8hg0q1kTBB5kjg0nO4,31
146,spotify:track:7F9vK8hNFMml4GtHsaXui6,84
147,spotify:track:4iLqG9SeJSnt0cSPICSjxv,88
148,spotify:track:7129iqBafaphfc3WPCGC0L,54
149,spotify:track:3BmjRmFTESgWZLPSVGp8aG,61
