,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,song,artist,genre
19,0.0593,https://api.spotify.com/v1/audio-analysis/7sapKrjDij2fpDVj0GxP66,0.695,257133,0.684,7sapKrjDij2fpDVj0GxP66,0.0,0,0.125,-5.403,0,0.0288,102.041,4,https://api.spotify.com/v1/tracks/7sapKrjDij2fpDVj0GxP66,audio_features,spotify:track:7sapKrjDij2fpDVj0GxP66,0.515,70,She Will Be Loved,Maroon 5,pop
20,0.103,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,0.728,235213,0.974,2PpruBYCo4H7WOBJ7Q2EwM,0.000532,4,0.175,-2.261,0,0.0665,79.526,4,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,audio_features,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.965,77,Hey Ya! - Radio Mix / Club Mix,OutKast,hip hop
21,0.0794,https://api.spotify.com/v1/audio-analysis/25KybV9BOUlvcnv7nN3Pyo,0.317,235653,0.683,25KybV9BOUlvcnv7nN3Pyo,0.0,7,0.0465,-4.989,1,0.134,167.615,3,https://api.spotify.com/v1/tracks/25KybV9BOUlvcnv7nN3Pyo,audio_features,spotify:track:25KybV9BOUlvcnv7nN3Pyo,0.538,70,In The Night,The Weeknd,rap
22,0.01,https://api.spotify.com/v1/audio-analysis/3kyxRga5wDGbKdmxXssbps,0.485,276720,0.735,3kyxRga5wDGbKdmxXssbps,0.00794,1,0.213,-5.929,1,0.0334,131.234,4,https://api.spotify.com/v1/tracks/3kyxRga5wDGbKdmxXssbps,audio_features,spotify:track:3kyxRga5wDGbKdmxXssbps,0.456,13,I Will Wait,Mumford & Sons,folk
23,0.00239,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,0.429,266773,0.661,3AJwUDP919kvQ9QcozQPxg,0.00013,11,0.234,-7.227,1,0.0281,173.365,4,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.285,82,Yellow,Coldplay,rock
24,0.00181,https://api.spotify.com/v1/audio-analysis/6JEntXLt4z98CcDtIH9sU7,0.675,303827,0.866,6JEntXLt4z98CcDtIH9sU7,0.746,1,0.415,-6.454,1,0.039,128.007,4,https://api.spotify.com/v1/tracks/6JEntXLt4z98CcDtIH9sU7,audio_features,spotify:track:6JEntXLt4z98CcDtIH9sU7,0.0379,61,Animals - Extended,Martin Garrix,electronic
25,0.217,https://api.spotify.com/v1/audio-analysis/0KpfYajJVVGgQ32Dby7e9i,0.675,216667,0.885,0KpfYajJVVGgQ32Dby7e9i,0.0,1,0.086,-4.432,0,0.0436,97.03,4,https://api.spotify.com/v1/tracks/0KpfYajJVVGgQ32Dby7e9i,audio_features,spotify:track:0KpfYajJVVGgQ32Dby7e9i,0.768,79,"Hey, Soul Sister",Train,rap
26,0.844,https://api.spotify.com/v1/audio-analysis/2cbic3TiUENlJX91y67ARR,0.593,238520,0.263,2cbic3TiUENlJX91y67ARR,5.36e-06,4,0.127,-14.029,0,0.0567,76.379,4,https://api.spotify.com/v1/tracks/2cbic3TiUENlJX91y67ARR,audio_features,spotify:track:2cbic3TiUENlJX91y67ARR,0.109,74,Skinny Love,Bon Iver,folk
27,0.459,https://api.spotify.com/v1/audio-analysis/0DAsxISzun85PbsqAfIzeC,0.617,127920,0.778,0DAsxISzun85PbsqAfIzeC,0.925,9,0.128,-8.871,0,0.027,100.363,4,https://api.spotify.com/v1/tracks/0DAsxISzun85PbsqAfIzeC,audio_features,spotify:track:0DAsxISzun85PbsqAfIzeC,0.152,68,Intro,The xx,indie
28,0.00576,https://api.spotify.com/v1/audio-analysis/3ctoHckjyd13eBi2IDw2Ip,0.75,231800,0.462,3ctoHckjyd13eBi2IDw2Ip,0.545,0,0.307,-7.664,1,0.0779,123.865,4,https://api.spotify.com/v1/tracks/3ctoHckjyd13eBi2IDw2Ip,audio_features,spotify:track:3ctoHckjyd13eBi2IDw2Ip,0.309,21,Seven Nation Army,The White Stripes,rock
