,Unnamed: 0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,song,artist,genre,sv,cr,de,co,dk,at,pa,es,gb,sk,global,nl,br,cl,ec,lt,us,it,be,lu,gr,mx,uy,ca,jp,sg,tr,cz,lv,pe,ch,se,ar,gt,py,pl,ph,nz,fr,fi,hn,ie,do,no,hu,pt,is,bo,au,hk,tw,my,ee
513,13,0.355,https://api.spotify.com/v1/audio-analysis/51ChrwmUPDJvedPQnIU8Ls,0.7609999999999999,238440,0.386,True,0.0,4,0.0953,-6.1579999999999995,1,0.0399,134.94299999999998,3,https://api.spotify.com/v1/tracks/51ChrwmUPDJvedPQnIU8Ls,audio_features,spotify:track:51ChrwmUPDJvedPQnIU8Ls,0.526,84,Dive,Ed Sheeran,pop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
514,14,0.536,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,0.522,207520,0.385,True,0.0,0,0.135,-7.355,1,0.0288,89.792,4,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,audio_features,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.23600000000000002,86,Happier,Ed Sheeran,pop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
515,15,0.14300000000000002,https://api.spotify.com/v1/audio-analysis/79Jhw5xn4gGn6PZak275gg,0.7829999999999999,228467,0.6729999999999999,False,0.0,11,0.21600000000000003,-4.938,1,0.0536,91.0,4,https://api.spotify.com/v1/tracks/79Jhw5xn4gGn6PZak275gg,audio_features,spotify:track:79Jhw5xn4gGn6PZak275gg,0.6579999999999999,75,Traicionera,Sebastian Yatra,latino,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
516,16,0.24600000000000002,https://api.spotify.com/v1/audio-analysis/1rXojdsUqqxGj2WCmJGWHP,0.777,238813,0.9109999999999999,False,0.0,6,0.257,-3.2230000000000003,0,0.17300000000000001,96.01700000000001,4,https://api.spotify.com/v1/tracks/1rXojdsUqqxGj2WCmJGWHP,audio_features,spotify:track:1rXojdsUqqxGj2WCmJGWHP,0.7040000000000001,78,Vacaciones,Wisin,latino,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
517,17,0.0021899999999999997,https://api.spotify.com/v1/audio-analysis/37sINbJZcFdHFAsVNsPq1i,0.491,245467,0.885,False,0.0,3,0.0741,-4.121,1,0.0395,166.99200000000002,4,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,audio_features,spotify:track:37sINbJZcFdHFAsVNsPq1i,0.6409999999999999,74,Superheroes,The Script,pop,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
518,18,0.0313,https://api.spotify.com/v1/audio-analysis/7s0lDK7y3XLmI7tcsRAbW0,0.561,186827,0.927,False,2.34e-05,9,0.529,-4.374,0,0.0619,152.011,4,https://api.spotify.com/v1/tracks/7s0lDK7y3XLmI7tcsRAbW0,audio_features,spotify:track:7s0lDK7y3XLmI7tcsRAbW0,0.5529999999999999,72,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,punk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
519,19,0.0938,https://api.spotify.com/v1/audio-analysis/4bPQs0PHn4xbipzdPfn6du,0.5670000000000001,187613,0.795,False,0.0,9,0.114,-4.985,0,0.134,170.06,4,https://api.spotify.com/v1/tracks/4bPQs0PHn4xbipzdPfn6du,audio_features,spotify:track:4bPQs0PHn4xbipzdPfn6du,0.635,76,I Write Sins Not Tragedies,Panic! At The Disco,punk,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520,20,0.19699999999999998,https://api.spotify.com/v1/audio-analysis/2Gl0FzuLxflY6nPifJp5Dr,0.633,193511,0.5920000000000001,True,0.0,0,0.099,-7.245,0,0.11199999999999999,90.066,4,https://api.spotify.com/v1/tracks/2Gl0FzuLxflY6nPifJp5Dr,audio_features,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,0.679,82,First Time,Kygo,electronic,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
521,21,0.298,https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL,0.6559999999999999,212120,0.721,True,0.0,5,0.17300000000000001,-5.665,0,0.122,148.066,4,https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL,audio_features,spotify:track:52okn5MNA47tk87PeZJLEL,0.46799999999999997,88,Let You Down,NF,Unknown,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
522,22,0.141,https://api.spotify.com/v1/audio-analysis/7JNh1cfm0eXjqFVOzKLyau,0.743,202453,0.855,False,0.0045,5,0.099,-3.9760000000000004,0,0.0436,96.98899999999999,4,https://api.spotify.com/v1/tracks/7JNh1cfm0eXjqFVOzKLyau,audio_features,spotify:track:7JNh1cfm0eXjqFVOzKLyau,0.871,90,Mayores,Becky G,pop,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False
